S_N,Site_Name,Site_ID,LAT,LONG,MCC,MNC,Cell_Name,LAC,Cell_ID,NEAREST_FACILITY,Site_ID,Site_RName,Cell_Name
436,,,8.476279,-13.269261,619,1,,10000,4115,"Signal Hill Rd(MCHP),Scan Drive MCHP(MCHP),Wilberforce CHC(CHC),Blessed Mokaba Central (EPI)(CHP),Blind School Clinic(Clinic)",SL0041,Smart Farm,USMARTN
437,,,8.476279,-13.269261,619,1,,10000,4116,"Signal Hill Rd(MCHP),Scan Drive MCHP(MCHP),Wilberforce CHC(CHC),Blessed Mokaba Central (EPI)(CHP),Blind School Clinic(Clinic)",SL0041,Smart Farm,USMARTP
438,,,8.476279,-13.269261,619,1,,10000,4117,"Signal Hill Rd(MCHP),Scan Drive MCHP(MCHP),Wilberforce CHC(CHC),Blessed Mokaba Central (EPI)(CHP),Blind School Clinic(Clinic)",SL0041,Smart Farm,USMARTX
439,,,8.476279,-13.269261,619,1,,10000,4118,"Signal Hill Rd(MCHP),Scan Drive MCHP(MCHP),Wilberforce CHC(CHC),Blessed Mokaba Central (EPI)(CHP),Blind School Clinic(Clinic)",SL0041,Smart Farm,USMARTY
440,,,8.476279,-13.269261,619,1,,10000,4119,"Signal Hill Rd(MCHP),Scan Drive MCHP(MCHP),Wilberforce CHC(CHC),Blessed Mokaba Central (EPI)(CHP),Blind School Clinic(Clinic)",SL0041,Smart Farm,USMARTZ
441,,,8.950471,-11.982413,619,1,,24000,20421,"Binkolo (CHC),Kapethe (MCHP),Kateneh (MCHP),Mabonkani  (MCHP),Kabombeh (CHP)",SL0042,Binkolo,BINKO1
442,,,8.950471,-11.982413,619,1,,24000,20422,"Binkolo (CHC),Kapethe (MCHP),Kateneh (MCHP),Mabonkani  (MCHP),Kabombeh (CHP)",SL0042,Binkolo,BINKO2
443,,,8.950471,-11.982413,619,1,,24000,20423,"Binkolo (CHC),Kapethe (MCHP),Kateneh (MCHP),Mabonkani  (MCHP),Kabombeh (CHP)",SL0042,Binkolo,BINKO3
444,,,8.950471,-11.982413,619,1,,33000,4217,"Binkolo (CHC),Kapethe (MCHP),Kateneh (MCHP),Mabonkani  (MCHP),Kabombeh (CHP)",SL0042,Binkolo,UBINKOX
445,,,9.05914,-11.73683,619,1,,25000,20431,"Bunbuna(CHC),Kathombo MCHP(MCHP),New Ferengbeia(MCHP),Kamsepena(MCHP),Kemedugu MCHP(MCHP)",SL0043,Bumbuna,BUMBU1
446,,,9.05914,-11.73683,619,1,,25000,20432,"Bunbuna(CHC),Kathombo MCHP(MCHP),New Ferengbeia(MCHP),Kamsepena(MCHP),Kemedugu MCHP(MCHP)",SL0043,Bumbuna,BUMBU2
447,,,9.05914,-11.73683,619,1,,25000,20433,"Bunbuna(CHC),Kathombo MCHP(MCHP),New Ferengbeia(MCHP),Kamsepena(MCHP),Kemedugu MCHP(MCHP)",SL0043,Bumbuna,BUMBU3
448,,,9.05914,-11.73683,619,1,,33000,4317,"Bunbuna(CHC),Kathombo MCHP(MCHP),New Ferengbeia(MCHP),Kamsepena(MCHP),Kemedugu MCHP(MCHP)",SL0043,Bumbuna,UBUMBUX
449,,,8.46853,-13.21428,619,1,,22000,20441,"Julipha Ashobe Corner(MCHP),Masuba Static (Clinic),Talia MCHP(MCHP),Benguima Mi Room(CHP),Borah Maternity(CHP)",SL0044,FBC,FBC1
450,,,8.46853,-13.21428,619,1,,22000,20442,"Julipha Ashobe Corner(MCHP),Masuba Static (Clinic),Talia MCHP(MCHP),Benguima Mi Room(CHP),Borah Maternity(CHP)",SL0044,FBC,FBC2
451,,,8.46853,-13.21428,619,1,,22000,20443,"Julipha Ashobe Corner(MCHP),Masuba Static (Clinic),Talia MCHP(MCHP),Benguima Mi Room(CHP),Borah Maternity(CHP)",SL0044,FBC,FBC3
452,,,8.46853,-13.21428,619,1,,10003,114,"Julipha Ashobe Corner(MCHP),Masuba Static (Clinic),Talia MCHP(MCHP),Benguima Mi Room(CHP),Borah Maternity(CHP)",SL0044,FBC,UFBC1M
453,,,8.46853,-13.21428,619,1,,10003,115,"Julipha Ashobe Corner(MCHP),Masuba Static (Clinic),Talia MCHP(MCHP),Benguima Mi Room(CHP),Borah Maternity(CHP)",SL0044,FBC,UFBC1N
454,,,8.46853,-13.21428,619,1,,10003,116,"Julipha Ashobe Corner(MCHP),Masuba Static (Clinic),Talia MCHP(MCHP),Benguima Mi Room(CHP),Borah Maternity(CHP)",SL0044,FBC,UFBC1P
455,,,8.46853,-13.21428,619,1,,10003,117,"Julipha Ashobe Corner(MCHP),Masuba Static (Clinic),Talia MCHP(MCHP),Benguima Mi Room(CHP),Borah Maternity(CHP)",SL0044,FBC,UFBC1X
456,,,8.46853,-13.21428,619,1,,10003,118,"Julipha Ashobe Corner(MCHP),Masuba Static (Clinic),Talia MCHP(MCHP),Benguima Mi Room(CHP),Borah Maternity(CHP)",SL0044,FBC,UFBC1Y
457,,,8.46853,-13.21428,619,1,,10003,119,"Julipha Ashobe Corner(MCHP),Masuba Static (Clinic),Talia MCHP(MCHP),Benguima Mi Room(CHP),Borah Maternity(CHP)",SL0044,FBC,UFBC1Z
458,,,8.436195,-13.1672,619,1,,20000,20451,"Wind/Appdep Maternity(CHP),Blessed Mokaba East(CHP),Wellington Health Centre(CHC),Rokupa Government Hospital(Hospital),Mayemie(MCHP)",SL0045,Calaba Town,CALABA1
459,,,8.436195,-13.1672,619,1,,20000,20452,"Wind/Appdep Maternity(CHP),Blessed Mokaba East(CHP),Wellington Health Centre(CHC),Rokupa Government Hospital(Hospital),Mayemie(MCHP)",SL0045,Calaba Town,CALABA2
460,,,8.436195,-13.1672,619,1,,20000,20453,"Wind/Appdep Maternity(CHP),Blessed Mokaba East(CHP),Wellington Health Centre(CHC),Rokupa Government Hospital(Hospital),Mayemie(MCHP)",SL0045,Calaba Town,CALABA3
461,,,8.436195,-13.1672,619,1,,10003,30081,"Wind/Appdep Maternity(CHP),Blessed Mokaba East(CHP),Wellington Health Centre(CHC),Rokupa Government Hospital(Hospital),Mayemie(MCHP)",SL0045,Calaba Town,UCLABAI
462,,,8.436195,-13.1672,619,1,,10003,30082,"Wind/Appdep Maternity(CHP),Blessed Mokaba East(CHP),Wellington Health Centre(CHC),Rokupa Government Hospital(Hospital),Mayemie(MCHP)",SL0045,Calaba Town,UCLABAJ
463,,,8.436195,-13.1672,619,1,,10003,30083,"Wind/Appdep Maternity(CHP),Blessed Mokaba East(CHP),Wellington Health Centre(CHC),Rokupa Government Hospital(Hospital),Mayemie(MCHP)",SL0045,Calaba Town,UCLABAK
464,,,8.436195,-13.1672,619,1,,10003,4514,"Wind/Appdep Maternity(CHP),Blessed Mokaba East(CHP),Wellington Health Centre(CHC),Rokupa Government Hospital(Hospital),Mayemie(MCHP)",SL0045,Calaba Town,UCLABAM
465,,,8.436195,-13.1672,619,1,,10003,4515,"Wind/Appdep Maternity(CHP),Blessed Mokaba East(CHP),Wellington Health Centre(CHC),Rokupa Government Hospital(Hospital),Mayemie(MCHP)",SL0045,Calaba Town,UCLABAN
466,,,8.436195,-13.1672,619,1,,10003,4516,"Wind/Appdep Maternity(CHP),Blessed Mokaba East(CHP),Wellington Health Centre(CHC),Rokupa Government Hospital(Hospital),Mayemie(MCHP)",SL0045,Calaba Town,UCLABAP
467,,,8.436195,-13.1672,619,1,,10003,4517,"Wind/Appdep Maternity(CHP),Blessed Mokaba East(CHP),Wellington Health Centre(CHC),Rokupa Government Hospital(Hospital),Mayemie(MCHP)",SL0045,Calaba Town,UCLABAX
468,,,8.436195,-13.1672,619,1,,10003,4518,"Wind/Appdep Maternity(CHP),Blessed Mokaba East(CHP),Wellington Health Centre(CHC),Rokupa Government Hospital(Hospital),Mayemie(MCHP)",SL0045,Calaba Town,UCLABAY
469,,,8.436195,-13.1672,619,1,,10003,4519,"Wind/Appdep Maternity(CHP),Blessed Mokaba East(CHP),Wellington Health Centre(CHC),Rokupa Government Hospital(Hospital),Mayemie(MCHP)",SL0045,Calaba Town,UCLABAZ
470,,,8.72257,-11.95123,619,1,,25000,20461,"Magburaka Government Hospital(Hospital),Under Fives Clinic Tonkolili(MCHP),Makolor  (CHP),Makeni Lol (CHP),Masabong Pil (CHP)",SL0046,Magburaka,MABRKA1
471,,,8.72257,-11.95123,619,1,,25000,20462,"Magburaka Government Hospital(Hospital),Under Fives Clinic Tonkolili(MCHP),Makolor  (CHP),Makeni Lol (CHP),Masabong Pil (CHP)",SL0046,Magburaka,MABRKA2
472,,,8.72257,-11.95123,619,1,,25000,20463,"Magburaka Government Hospital(Hospital),Under Fives Clinic Tonkolili(MCHP),Makolor  (CHP),Makeni Lol (CHP),Masabong Pil (CHP)",SL0046,Magburaka,MABRKA3
473,,,8.72257,-11.95123,619,1,,33000,4614,"Magburaka Government Hospital(Hospital),Under Fives Clinic Tonkolili(MCHP),Makolor  (CHP),Makeni Lol (CHP),Masabong Pil (CHP)",SL0046,Magburaka,UMABRKM
474,,,8.72257,-11.95123,619,1,,33000,4615,"Magburaka Government Hospital(Hospital),Under Fives Clinic Tonkolili(MCHP),Makolor  (CHP),Makeni Lol (CHP),Masabong Pil (CHP)",SL0046,Magburaka,UMABRKN
475,,,8.72257,-11.95123,619,1,,33000,4616,"Magburaka Government Hospital(Hospital),Under Fives Clinic Tonkolili(MCHP),Makolor  (CHP),Makeni Lol (CHP),Masabong Pil (CHP)",SL0046,Magburaka,UMABRKP
476,,,8.72257,-11.95123,619,1,,33000,4617,"Magburaka Government Hospital(Hospital),Under Fives Clinic Tonkolili(MCHP),Makolor  (CHP),Makeni Lol (CHP),Masabong Pil (CHP)",SL0046,Magburaka,UMABRKX
477,,,8.72257,-11.95123,619,1,,33000,4618,"Magburaka Government Hospital(Hospital),Under Fives Clinic Tonkolili(MCHP),Makolor  (CHP),Makeni Lol (CHP),Masabong Pil (CHP)",SL0046,Magburaka,UMABRKY
478,,,8.72257,-11.95123,619,1,,33000,4619,"Magburaka Government Hospital(Hospital),Under Fives Clinic Tonkolili(MCHP),Makolor  (CHP),Makeni Lol (CHP),Masabong Pil (CHP)",SL0046,Magburaka,UMABRKZ
479,,,8.615977,-13.204624,619,1,,22000,20471,"Air Port Community Health Centre Lungi(Clinic),Lungi Government Hospital (Hospital),Under Fives Clinic - Lungi (CHP),Mahera CHC(CHC),Bai Bureh Memorial Hospital(Hospital)",SL0047,Lungi,LUNGI1
480,,,8.615977,-13.204624,619,1,,22000,20472,"Air Port Community Health Centre Lungi(Clinic),Lungi Government Hospital (Hospital),Under Fives Clinic - Lungi (CHP),Mahera CHC(CHC),Bai Bureh Memorial Hospital(Hospital)",SL0047,Lungi,LUNGI2
481,,,8.615977,-13.204624,619,1,,22000,20473,"Air Port Community Health Centre Lungi(Clinic),Lungi Government Hospital (Hospital),Under Fives Clinic - Lungi (CHP),Mahera CHC(CHC),Bai Bureh Memorial Hospital(Hospital)",SL0047,Lungi,LUNGI3
482,,,8.615977,-13.204624,619,1,,10070,234,"Air Port Community Health Centre Lungi(Clinic),Lungi Government Hospital (Hospital),Under Fives Clinic - Lungi (CHP),Mahera CHC(CHC),Bai Bureh Memorial Hospital(Hospital)",SL0047,Lungi,ULUNGIM
483,,,8.615977,-13.204624,619,1,,10070,235,"Air Port Community Health Centre Lungi(Clinic),Lungi Government Hospital (Hospital),Under Fives Clinic - Lungi (CHP),Mahera CHC(CHC),Bai Bureh Memorial Hospital(Hospital)",SL0047,Lungi,ULUNGIN
484,,,8.615977,-13.204624,619,1,,10070,236,"Air Port Community Health Centre Lungi(Clinic),Lungi Government Hospital (Hospital),Under Fives Clinic - Lungi (CHP),Mahera CHC(CHC),Bai Bureh Memorial Hospital(Hospital)",SL0047,Lungi,ULUNGIP
485,,,8.615977,-13.204624,619,1,,10070,237,"Air Port Community Health Centre Lungi(Clinic),Lungi Government Hospital (Hospital),Under Fives Clinic - Lungi (CHP),Mahera CHC(CHC),Bai Bureh Memorial Hospital(Hospital)",SL0047,Lungi,ULUNGIX
486,,,8.615977,-13.204624,619,1,,10070,238,"Air Port Community Health Centre Lungi(Clinic),Lungi Government Hospital (Hospital),Under Fives Clinic - Lungi (CHP),Mahera CHC(CHC),Bai Bureh Memorial Hospital(Hospital)",SL0047,Lungi,ULUNGIY
487,,,8.615977,-13.204624,619,1,,10070,239,"Air Port Community Health Centre Lungi(Clinic),Lungi Government Hospital (Hospital),Under Fives Clinic - Lungi (CHP),Mahera CHC(CHC),Bai Bureh Memorial Hospital(Hospital)",SL0047,Lungi,ULUNGIZ
488,,,8.40963,-13.13123,619,1,,20000,20481,"Mayemie(MCHP),Jui Police Clinic(CHC),Sierra Leone Friendship Hospital Jui(Hospital),New London MCHP(MCHP),Blessed Mokaba East(CHP)",SL0048,Jui,JUI1
489,,,8.40963,-13.13123,619,1,,20000,20482,"Mayemie(MCHP),Jui Police Clinic(CHC),Sierra Leone Friendship Hospital Jui(Hospital),New London MCHP(MCHP),Blessed Mokaba East(CHP)",SL0048,Jui,JUI2
490,,,8.40963,-13.13123,619,1,,20000,20483,"Mayemie(MCHP),Jui Police Clinic(CHC),Sierra Leone Friendship Hospital Jui(Hospital),New London MCHP(MCHP),Blessed Mokaba East(CHP)",SL0048,Jui,JUI3
491,,,8.40963,-13.13123,619,1,,10003,30867,"Mayemie(MCHP),Jui Police Clinic(CHC),Sierra Leone Friendship Hospital Jui(Hospital),New London MCHP(MCHP),Blessed Mokaba East(CHP)",SL0048,Jui,UJUII
492,,,8.40963,-13.13123,619,1,,10003,30868,"Mayemie(MCHP),Jui Police Clinic(CHC),Sierra Leone Friendship Hospital Jui(Hospital),New London MCHP(MCHP),Blessed Mokaba East(CHP)",SL0048,Jui,UJUIJ
493,,,8.40963,-13.13123,619,1,,10003,30869,"Mayemie(MCHP),Jui Police Clinic(CHC),Sierra Leone Friendship Hospital Jui(Hospital),New London MCHP(MCHP),Blessed Mokaba East(CHP)",SL0048,Jui,UJUIK
494,,,8.40963,-13.13123,619,1,,10003,194,"Mayemie(MCHP),Jui Police Clinic(CHC),Sierra Leone Friendship Hospital Jui(Hospital),New London MCHP(MCHP),Blessed Mokaba East(CHP)",SL0048,Jui,UJUIM
495,,,8.40963,-13.13123,619,1,,10003,195,"Mayemie(MCHP),Jui Police Clinic(CHC),Sierra Leone Friendship Hospital Jui(Hospital),New London MCHP(MCHP),Blessed Mokaba East(CHP)",SL0048,Jui,UJUIN
496,,,8.40963,-13.13123,619,1,,10003,196,"Mayemie(MCHP),Jui Police Clinic(CHC),Sierra Leone Friendship Hospital Jui(Hospital),New London MCHP(MCHP),Blessed Mokaba East(CHP)",SL0048,Jui,UJUIP
497,,,8.40963,-13.13123,619,1,,10003,197,"Mayemie(MCHP),Jui Police Clinic(CHC),Sierra Leone Friendship Hospital Jui(Hospital),New London MCHP(MCHP),Blessed Mokaba East(CHP)",SL0048,Jui,UJUIX
498,,,8.40963,-13.13123,619,1,,10003,198,"Mayemie(MCHP),Jui Police Clinic(CHC),Sierra Leone Friendship Hospital Jui(Hospital),New London MCHP(MCHP),Blessed Mokaba East(CHP)",SL0048,Jui,UJUIY
499,,,8.40963,-13.13123,619,1,,10003,199,"Mayemie(MCHP),Jui Police Clinic(CHC),Sierra Leone Friendship Hospital Jui(Hospital),New London MCHP(MCHP),Blessed Mokaba East(CHP)",SL0048,Jui,UJUIZ
500,,,9.49509,-12.23846,619,1,,24000,20491,"Kamakwie Wesleyan Hospital(Hospital),Kamakwie (CHP),Kaponkie (CHP),Kamabaio (CHP),Masankorie (CHP)",SL0049,Kamakwe,KAMAKW1
501,,,9.49509,-12.23846,619,1,,24000,20492,"Kamakwie Wesleyan Hospital(Hospital),Kamakwie (CHP),Kaponkie (CHP),Kamabaio (CHP),Masankorie (CHP)",SL0049,Kamakwe,KAMAKW2
502,,,9.49509,-12.23846,619,1,,24000,20493,"Kamakwie Wesleyan Hospital(Hospital),Kamakwie (CHP),Kaponkie (CHP),Kamabaio (CHP),Masankorie (CHP)",SL0049,Kamakwe,KAMAKW3
503,,,9.20483,-12.23563,619,1,,24000,20501,"Rogbin CHP(CHP),Rokulan(CHC),Makaiba (CHP),Mabunduka  (CHC),Royeama(CHP)",SL0050,Rogbin,ROGBIN1
504,,,9.20483,-12.23563,619,1,,24000,20502,"Rogbin CHP(CHP),Rokulan(CHC),Makaiba (CHP),Mabunduka  (CHC),Royeama(CHP)",SL0050,Rogbin,ROGBIN2
505,,,9.20483,-12.23563,619,1,,24000,20503,"Rogbin CHP(CHP),Rokulan(CHC),Makaiba (CHP),Mabunduka  (CHC),Royeama(CHP)",SL0050,Rogbin,ROGBIN3
506,,,8.00813,-10.953,619,1,,26000,20511,"Nixon Memorial Hospital(Hospital),Segbwema(CHC),Follah(MCHP),Vaahun MCHP(MCHP),Bendajuma Kpolihun(CHP)",SL0051,Segbwema,SEGBMA1
507,,,8.00813,-10.953,619,1,,26000,20512,"Nixon Memorial Hospital(Hospital),Segbwema(CHC),Follah(MCHP),Vaahun MCHP(MCHP),Bendajuma Kpolihun(CHP)",SL0051,Segbwema,SEGBMA2
508,,,8.00813,-10.953,619,1,,26000,20513,"Nixon Memorial Hospital(Hospital),Segbwema(CHC),Follah(MCHP),Vaahun MCHP(MCHP),Bendajuma Kpolihun(CHP)",SL0051,Segbwema,SEGBMA3
509,,,8.2156,-11.01846,619,1,,26000,20521,"Sembeima MCHP(MCHP),Kangama CHC(CHC),Lowoma CHC(CHC),Bomie MCHP Kenema(MCHP),Tongo CHC(CHC)",SL0052,Tongor,TONGOR1
510,,,8.2156,-11.01846,619,1,,26000,20522,"Sembeima MCHP(MCHP),Kangama CHC(CHC),Lowoma CHC(CHC),Bomie MCHP Kenema(MCHP),Tongo CHC(CHC)",SL0052,Tongor,TONGOR2
511,,,8.2156,-11.01846,619,1,,26000,20523,"Sembeima MCHP(MCHP),Kangama CHC(CHC),Lowoma CHC(CHC),Bomie MCHP Kenema(MCHP),Tongo CHC(CHC)",SL0052,Tongor,TONGOR3
512,,,8.345,-13.2319,619,1,,20000,20531,"Lakka Government Hospital(Hospital),Goderich Emergency Surgical Center(Hospital),New London MCHP(MCHP),Sierra Leone Friendship Hospital Jui(Hospital),Jui Police Clinic(CHC)",SL0053,Sussex,SUSSEX1
513,,,8.345,-13.2319,619,1,,20000,20532,"Lakka Government Hospital(Hospital),Goderich Emergency Surgical Center(Hospital),New London MCHP(MCHP),Sierra Leone Friendship Hospital Jui(Hospital),Jui Police Clinic(CHC)",SL0053,Sussex,SUSSEX2
514,,,8.345,-13.2319,619,1,,20000,20533,"Lakka Government Hospital(Hospital),Goderich Emergency Surgical Center(Hospital),New London MCHP(MCHP),Sierra Leone Friendship Hospital Jui(Hospital),Jui Police Clinic(CHC)",SL0053,Sussex,SUSSEX3
515,,,8.345,-13.2319,619,1,,10004,334,"Lakka Government Hospital(Hospital),Goderich Emergency Surgical Center(Hospital),New London MCHP(MCHP),Sierra Leone Friendship Hospital Jui(Hospital),Jui Police Clinic(CHC)",SL0053,Sussex,USUSSEM
516,,,8.345,-13.2319,619,1,,10004,337,"Lakka Government Hospital(Hospital),Goderich Emergency Surgical Center(Hospital),New London MCHP(MCHP),Sierra Leone Friendship Hospital Jui(Hospital),Jui Police Clinic(CHC)",SL0053,Sussex,USUSSEX
517,,,8.43402,-13.271425,619,1,,20000,20541,"Mutual Faith Clinic(MCHP),Goderich Emergency Surgical Center(Hospital),Family Clinic(CHP),Blind School Clinic(Clinic),Lakka Government Hospital(Hospital)",SL0054,Marjay Town,MARJAY1
518,,,8.43402,-13.271425,619,1,,20000,20542,"Mutual Faith Clinic(MCHP),Goderich Emergency Surgical Center(Hospital),Family Clinic(CHP),Blind School Clinic(Clinic),Lakka Government Hospital(Hospital)",SL0054,Marjay Town,MARJAY2
519,,,8.43402,-13.271425,619,1,,20000,20543,"Mutual Faith Clinic(MCHP),Goderich Emergency Surgical Center(Hospital),Family Clinic(CHP),Blind School Clinic(Clinic),Lakka Government Hospital(Hospital)",SL0054,Marjay Town,MARJAY3
520,,,8.43402,-13.271425,619,1,,10004,30461,"Mutual Faith Clinic(MCHP),Goderich Emergency Surgical Center(Hospital),Family Clinic(CHP),Blind School Clinic(Clinic),Lakka Government Hospital(Hospital)",SL0054,Marjay Town,UMRJAYI
521,,,8.43402,-13.271425,619,1,,10004,30462,"Mutual Faith Clinic(MCHP),Goderich Emergency Surgical Center(Hospital),Family Clinic(CHP),Blind School Clinic(Clinic),Lakka Government Hospital(Hospital)",SL0054,Marjay Town,UMRJAYJ
522,,,8.43402,-13.271425,619,1,,10004,30463,"Mutual Faith Clinic(MCHP),Goderich Emergency Surgical Center(Hospital),Family Clinic(CHP),Blind School Clinic(Clinic),Lakka Government Hospital(Hospital)",SL0054,Marjay Town,UMRJAYK
523,,,8.43402,-13.271425,619,1,,10004,1944,"Mutual Faith Clinic(MCHP),Goderich Emergency Surgical Center(Hospital),Family Clinic(CHP),Blind School Clinic(Clinic),Lakka Government Hospital(Hospital)",SL0054,Marjay Town,UMRJAYM
524,,,8.43402,-13.271425,619,1,,10004,1945,"Mutual Faith Clinic(MCHP),Goderich Emergency Surgical Center(Hospital),Family Clinic(CHP),Blind School Clinic(Clinic),Lakka Government Hospital(Hospital)",SL0054,Marjay Town,UMRJAYN
525,,,8.43402,-13.271425,619,1,,10004,1946,"Mutual Faith Clinic(MCHP),Goderich Emergency Surgical Center(Hospital),Family Clinic(CHP),Blind School Clinic(Clinic),Lakka Government Hospital(Hospital)",SL0054,Marjay Town,UMRJAYP
526,,,8.43402,-13.271425,619,1,,10004,1947,"Mutual Faith Clinic(MCHP),Goderich Emergency Surgical Center(Hospital),Family Clinic(CHP),Blind School Clinic(Clinic),Lakka Government Hospital(Hospital)",SL0054,Marjay Town,UMRJAYX
527,,,8.43402,-13.271425,619,1,,10004,1948,"Mutual Faith Clinic(MCHP),Goderich Emergency Surgical Center(Hospital),Family Clinic(CHP),Blind School Clinic(Clinic),Lakka Government Hospital(Hospital)",SL0054,Marjay Town,UMRJAYY
528,,,8.43402,-13.271425,619,1,,10004,1949,"Mutual Faith Clinic(MCHP),Goderich Emergency Surgical Center(Hospital),Family Clinic(CHP),Blind School Clinic(Clinic),Lakka Government Hospital(Hospital)",SL0054,Marjay Town,UMRJAYZ
529,,,8.62479,-11.04388,619,1,,33000,371,"Yengema CHC(CHC),Ngaya(MCHP),Motema CHC(CHC),Tongorma(MCHP),Koaquima CHC(CHC)",SL0055,Yengema,UYENGEI
530,,,8.62479,-11.04388,619,1,,33000,372,"Yengema CHC(CHC),Ngaya(MCHP),Motema CHC(CHC),Tongorma(MCHP),Koaquima CHC(CHC)",SL0055,Yengema,UYENGEJ
531,,,8.62479,-11.04388,619,1,,33000,373,"Yengema CHC(CHC),Ngaya(MCHP),Motema CHC(CHC),Tongorma(MCHP),Koaquima CHC(CHC)",SL0055,Yengema,UYENGEK
532,,,8.62479,-11.04388,619,1,,33000,374,"Yengema CHC(CHC),Ngaya(MCHP),Motema CHC(CHC),Tongorma(MCHP),Koaquima CHC(CHC)",SL0055,Yengema,UYENGEM
533,,,8.62479,-11.04388,619,1,,33000,375,"Yengema CHC(CHC),Ngaya(MCHP),Motema CHC(CHC),Tongorma(MCHP),Koaquima CHC(CHC)",SL0055,Yengema,UYENGEN
534,,,8.62479,-11.04388,619,1,,33000,376,"Yengema CHC(CHC),Ngaya(MCHP),Motema CHC(CHC),Tongorma(MCHP),Koaquima CHC(CHC)",SL0055,Yengema,UYENGEP
535,,,8.62479,-11.04388,619,1,,33000,377,"Yengema CHC(CHC),Ngaya(MCHP),Motema CHC(CHC),Tongorma(MCHP),Koaquima CHC(CHC)",SL0055,Yengema,UYENGEX
536,,,8.62479,-11.04388,619,1,,33000,378,"Yengema CHC(CHC),Ngaya(MCHP),Motema CHC(CHC),Tongorma(MCHP),Koaquima CHC(CHC)",SL0055,Yengema,UYENGEY
537,,,8.62479,-11.04388,619,1,,33000,379,"Yengema CHC(CHC),Ngaya(MCHP),Motema CHC(CHC),Tongorma(MCHP),Koaquima CHC(CHC)",SL0055,Yengema,UYENGEZ
538,,,8.62479,-11.04388,619,1,,29000,20551,"Yengema CHC(CHC),Ngaya(MCHP),Motema CHC(CHC),Tongorma(MCHP),Koaquima CHC(CHC)",SL0055,Yengema,YENGE1
539,,,8.62479,-11.04388,619,1,,29000,20552,"Yengema CHC(CHC),Ngaya(MCHP),Motema CHC(CHC),Tongorma(MCHP),Koaquima CHC(CHC)",SL0055,Yengema,YENGE2
540,,,8.62479,-11.04388,619,1,,29000,20553,"Yengema CHC(CHC),Ngaya(MCHP),Motema CHC(CHC),Tongorma(MCHP),Koaquima CHC(CHC)",SL0055,Yengema,YENGE3
541,,,8.54738,-11.24261,619,1,,25000,20561,"Jaiama Sewafeh CHC(CHC),Peya MCHP(MCHP),Punduru CHP(CHP),Condama CHP(CHP),Walihun(MCHP)",SL0056,Sewafe,SEWAFE1
542,,,8.54738,-11.24261,619,1,,25000,20562,"Jaiama Sewafeh CHC(CHC),Peya MCHP(MCHP),Punduru CHP(CHP),Condama CHP(CHP),Walihun(MCHP)",SL0056,Sewafe,SEWAFE2
543,,,8.54738,-11.24261,619,1,,25000,20563,"Jaiama Sewafeh CHC(CHC),Peya MCHP(MCHP),Punduru CHP(CHP),Condama CHP(CHP),Walihun(MCHP)",SL0056,Sewafe,SEWAFE3
544,,,8.54738,-11.24261,619,1,,25000,20565,"Jaiama Sewafeh CHC(CHC),Peya MCHP(MCHP),Punduru CHP(CHP),Condama CHP(CHP),Walihun(MCHP)",SL0056,Sewafe,SEWAFE5
545,,,8.389024,-12.947889,619,1,,23000,20571,"Songo(CHC),Sumbuya CHP(CHP),Komrabai Nyollah MCHP(MCHP),Rokon MCHP(MCHP),Kissi Town(CHP)",SL0057,Songo,SONGO1
546,,,8.389024,-12.947889,619,1,,23000,20572,"Songo(CHC),Sumbuya CHP(CHP),Komrabai Nyollah MCHP(MCHP),Rokon MCHP(MCHP),Kissi Town(CHP)",SL0057,Songo,SONGO2
547,,,8.389024,-12.947889,619,1,,23000,20573,"Songo(CHC),Sumbuya CHP(CHP),Komrabai Nyollah MCHP(MCHP),Rokon MCHP(MCHP),Kissi Town(CHP)",SL0057,Songo,SONGO3
548,,,8.389024,-12.947889,619,1,,32000,150,"Songo(CHC),Sumbuya CHP(CHP),Komrabai Nyollah MCHP(MCHP),Rokon MCHP(MCHP),Kissi Town(CHP)",SL0057,Songo,USONGOX
549,,,7.976778,-11.74272,619,1,,27000,20581,"Simbo Town CHP(CHP),Kpamajama(MCHP),Dr Baima Hospital(Hospital),Mercy Hospital(Hospital),Gila's Hospital(Hospital)",SL0058,Bo 3,BO31
550,,,7.976778,-11.74272,619,1,,27000,20582,"Simbo Town CHP(CHP),Kpamajama(MCHP),Dr Baima Hospital(Hospital),Mercy Hospital(Hospital),Gila's Hospital(Hospital)",SL0058,Bo 3,BO32
551,,,7.976778,-11.74272,619,1,,27000,20583,"Simbo Town CHP(CHP),Kpamajama(MCHP),Dr Baima Hospital(Hospital),Mercy Hospital(Hospital),Gila's Hospital(Hospital)",SL0058,Bo 3,BO33
552,,,7.976778,-11.74272,619,1,,34000,41,"Simbo Town CHP(CHP),Kpamajama(MCHP),Dr Baima Hospital(Hospital),Mercy Hospital(Hospital),Gila's Hospital(Hospital)",SL0058,Bo 3,UBO3I
553,,,7.976778,-11.74272,619,1,,34000,42,"Simbo Town CHP(CHP),Kpamajama(MCHP),Dr Baima Hospital(Hospital),Mercy Hospital(Hospital),Gila's Hospital(Hospital)",SL0058,Bo 3,UBO3J
